firm,willing.A,willing.B,willing.C,willing.D,willing.T,again,price.A,price.B,price.C,price.D,price.T,dis.A,dis.B,dis.C,dis.D,dis.T,food.A,food.B,food.C,food.D,food.T,en.A,en.B,en.C,en.D,en.T,se.A,se.B,se.C,se.D,se.T,after.again,gender,age,income,H
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",5,5,5,5,NA,NA,5,5,5,5,NA,5,5,5,5,NA,5,5,5,5,NA,5,5,5,5,NA,5,5,5,5,NA,5,1,25,7999,0
雙醬咖哩,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,25,2999,0
"雙醬咖哩, 樂咖哩",5,NA,NA,5,NA,NA,4,NA,NA,4,NA,5,NA,NA,3,NA,5,NA,NA,5,NA,4,NA,NA,5,NA,4,NA,NA,5,NA,NA,0,25,999,0
雙醬咖哩,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,5,1,25,999,0
"雙醬咖哩, 咖哩郎",4,5,NA,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,4,5,NA,NA,NA,3,4,NA,NA,NA,3,4,NA,NA,NA,4,1,25,5999,0
"雙醬咖哩, Cume咖哩",4,NA,NA,NA,5,5,4,NA,NA,NA,4,4,NA,NA,NA,5,3,NA,NA,NA,5,3,NA,NA,NA,5,4,NA,NA,NA,5,5,1,25,6999,0
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩, Cume咖哩",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,25,10001,1
"樂咖哩, Cume咖哩",4,3,3,4,5,4,4,3,3,4,5,4,3,3,4,5,4,3,3,4,4,4,3,3,4,5,4,3,3,4,5,4,0,25,999,0
"雙醬咖哩, Cume咖哩",4,NA,NA,NA,4,4,4,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,4,4,1,25,7999,0
雙醬咖哩,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,5,0,25,10001,0
雙醬咖哩,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,5,1,25,9999,0
"雙醬咖哩, 咖哩郎",4,4,NA,NA,NA,NA,4,4,NA,NA,NA,4,3,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,NA,NA,5,0,45,10001,0
"雙醬咖哩, Cume咖哩",4,NA,NA,NA,4,4,3,NA,NA,NA,3,3,NA,NA,NA,2,3,NA,NA,NA,3,4,NA,NA,NA,4,4,NA,NA,NA,4,5,1,25,8999,0
"雙醬咖哩, 樂咖哩",4,NA,NA,3,NA,3,4,NA,NA,4,NA,5,NA,NA,3,NA,5,NA,NA,3,NA,4,NA,NA,4,NA,4,NA,NA,3,NA,3,0,25,7999,0
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",4,5,4,5,NA,NA,3,4,3,4,NA,5,4,3,4,NA,4,5,3,5,NA,3,5,5,5,NA,3,5,5,5,NA,4,1,25,10001,0
"雙醬咖哩, 咖哩郎",4,4,NA,NA,NA,3,4,4,NA,NA,NA,5,5,NA,NA,NA,4,4,NA,NA,NA,5,5,NA,NA,NA,4,4,NA,NA,NA,4,1,25,9999,0
雙醬咖哩,4,NA,NA,NA,NA,4,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,4,1,25,6999,0
雙醬咖哩,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,5,1,25,4999,0
雙醬咖哩,4,NA,NA,NA,NA,3,5,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,1,25,6999,0
雙醬咖哩,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,1,25,10001,0
雙醬咖哩,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,25,6999,0
雙醬咖哩,4,NA,NA,NA,NA,3,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,5,1,25,9999,0
雙醬咖哩,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,0,25,8999,0
"雙醬咖哩, 家咖哩, 樂咖哩",4,NA,4,4,NA,NA,3,NA,3,3,NA,4,NA,3,3,NA,4,NA,4,NA,NA,4,NA,4,4,NA,3,NA,4,4,NA,4,1,25,10001,0
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",3,4,4,4,NA,NA,3,5,4,4,NA,4,3,3,3,NA,3,4,4,4,NA,3,4,4,4,NA,3,5,5,5,NA,NA,0,25,10001,0
樂咖哩,3,4,4,5,4,4,3,4,4,5,4,3,4,4,5,4,4,4,4,5,5,4,4,4,5,5,4,5,5,5,5,4,1,19,8999,0
"雙醬咖哩, 咖哩郎, 家咖哩",3,4,5,NA,NA,3,4,5,4,NA,NA,5,5,3,NA,NA,3,4,5,NA,NA,3,5,4,NA,NA,3,4,5,NA,NA,4,0,25,10001,0
"雙醬咖哩, 家咖哩",3,NA,4,NA,NA,NA,3,NA,3,NA,NA,4,NA,3,NA,NA,4,NA,4,NA,NA,4,NA,4,NA,NA,4,NA,4,NA,NA,NA,0,25,10001,0
"雙醬咖哩, Cume咖哩",3,4,NA,NA,4,4,3,3,NA,NA,3,4,3,NA,NA,3,3,4,NA,NA,4,3,4,NA,NA,5,3,3,NA,NA,4,3,1,25,10001,0
"雙醬咖哩, 咖哩郎, 樂咖哩",3,5,NA,5,NA,NA,3,3,2,3,NA,4,3,2,3,NA,3,4,NA,4,NA,3,5,NA,5,NA,3,3,NA,3,NA,4,0,25,9999,0
雙醬咖哩,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,25,9999,0
"雙醬咖哩, 樂咖哩",3,NA,NA,4,NA,NA,3,NA,NA,3,NA,4,NA,4,NA,NA,3,NA,5,NA,NA,3,NA,4,NA,NA,4,NA,4,NA,NA,5,0,25,10001,0
"雙醬咖哩, 咖哩郎, 樂咖哩, Cume咖哩",3,4,NA,4,4,5,3,4,NA,4,3,4,3,NA,3,3,2,4,NA,4,4,3,4,NA,4,5,4,4,NA,4,4,5,0,25,10001,0
雙醬咖哩,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,4,1,25,10001,0
雙醬咖哩,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,9999,0
雙醬咖哩,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,0,19,10001,0
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",3,3,4,4,NA,NA,4,3,2,3,NA,4,3,2,4,NA,2,3,2,4,NA,2,3,4,4,NA,4,4,4,4,NA,4,0,25,10001,1
雙醬咖哩,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,19,6999,0
"雙醬咖哩, 咖哩郎, Cume咖哩",3,4,NA,NA,5,5,2,4,NA,NA,4,4,4,NA,NA,4,2,4,4,NA,5,2,4,NA,NA,4,3,3,NA,NA,4,3,0,19,10001,0
雙醬咖哩,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,0,25,3999,0
雙醬咖哩,3,NA,NA,NA,NA,3,3,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,1,25,10001,0
"雙醬咖哩, 家咖哩, 樂咖哩",3,NA,3,3,NA,NA,4,NA,4,4,NA,4,NA,3,3,NA,3,NA,3,3,NA,3,NA,3,3,NA,3,NA,3,3,NA,4,0,25,9999,0
"雙醬咖哩, 樂咖哩",3,NA,NA,5,NA,NA,3,NA,NA,4,NA,3,NA,NA,5,NA,3,NA,NA,5,NA,3,NA,NA,5,NA,3,NA,NA,5,NA,5,1,19,7999,0
雙醬咖哩,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,25,10001,0
"雙醬咖哩, 咖哩郎, 樂咖哩, Cume咖哩",3,3,NA,3,3,3,3,4,NA,3,3,3,3,NA,3,3,3,4,NA,5,2,4,5,NA,5,5,3,4,NA,4,4,3,0,25,10001,0
"雙醬咖哩, 咖哩郎",3,5,NA,NA,NA,3,4,4,NA,NA,NA,5,3,NA,NA,NA,1,5,NA,NA,NA,4,3,NA,NA,NA,4,5,NA,NA,NA,5,1,25,9999,0
"雙醬咖哩, 樂咖哩",3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,0,19,10001,0
"雙醬咖哩, 咖哩郎, 樂咖哩",3,4,NA,4,NA,NA,4,4,NA,4,NA,5,4,NA,4,NA,3,5,NA,5,NA,4,5,NA,5,NA,4,5,NA,4,NA,5,1,25,8999,0
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩, Cume咖哩",3,4,4,4,3,4,4,3,3,4,3,5,3,3,4,3,2,3,2,4,4,2,5,4,5,3,3,3,4,4,4,5,1,25,7999,1
雙醬咖哩,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,19,9999,0
"雙醬咖哩, 咖哩郎, 家咖哩",2,4,4,NA,NA,NA,2,4,4,NA,NA,4,4,4,NA,NA,2,5,5,NA,NA,4,5,5,NA,NA,4,5,5,NA,NA,4,0,25,9999,0
"雙醬咖哩, 咖哩郎, Cume咖哩",2,5,NA,NA,4,4,3,3,NA,NA,2,4,3,NA,NA,2,2,5,NA,NA,4,3,4,NA,NA,5,3,5,NA,NA,5,5,1,25,10001,0
"雙醬咖哩, 咖哩郎",2,3,NA,NA,NA,NA,2,2,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,4,1,25,10001,0
"雙醬咖哩, 咖哩郎, 樂咖哩",2,4,NA,4,NA,3,3,4,NA,3,NA,5,3,NA,3,NA,2,5,NA,4,NA,3,4,NA,4,NA,4,4,NA,4,NA,4,1,25,4999,0
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",2,4,3,4,NA,3,2,4,3,4,NA,2,4,3,4,NA,2,4,3,4,NA,2,4,3,4,NA,2,4,3,4,NA,3,0,25,7999,0
"雙醬咖哩, 咖哩郎",2,4,NA,NA,NA,3,3,3,NA,NA,NA,3,3,NA,NA,NA,2,4,NA,NA,NA,2,3,NA,NA,NA,3,4,NA,NA,NA,4,1,25,8999,0
雙醬咖哩,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,25,10001,0
"雙醬咖哩, 家咖哩, 樂咖哩",2,NA,5,4,NA,3,4,NA,2,5,NA,5,NA,2,5,NA,1,NA,5,5,NA,3,NA,5,5,NA,2,NA,5,5,NA,5,1,25,10001,0
"雙醬咖哩, 咖哩郎, 家咖哩, 樂咖哩",2,5,3,4,NA,3,1,3,2,3,NA,4,4,2,4,NA,2,4,4,4,NA,2,5,5,4,NA,2,4,4,4,NA,4,0,25,10001,0
"雙醬咖哩, 家咖哩, 樂咖哩",2,NA,5,4,NA,NA,4,NA,3,5,NA,3,NA,5,5,NA,2,NA,5,3,NA,3,NA,5,4,NA,3,NA,5,3,NA,NA,1,25,9999,0
"雙醬咖哩, 咖哩郎",1,4,NA,NA,NA,3,1,3,NA,NA,NA,3,3,NA,NA,NA,1,4,NA,NA,NA,3,3,NA,NA,NA,1,4,NA,NA,NA,4,0,25,9999,0
雙醬咖哩,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,25,9999,0
"雙醬咖哩, 咖哩郎, 家咖哩",1,4,2,NA,NA,NA,2,4,1,NA,NA,5,4,3,NA,NA,1,4,2,NA,NA,3,4,4,NA,NA,3,4,4,NA,NA,4,1,25,10001,0
咖哩郎,NA,5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,5,0,25,10001,1
"咖哩郎, 家咖哩, 樂咖哩",NA,4,4,4,NA,NA,NA,4,3,4,NA,NA,4,3,4,NA,NA,4,4,4,NA,NA,4,4,4,NA,NA,4,4,4,NA,NA,1,25,8999,0
咖哩郎,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,0,25,8999,0
"咖哩郎, 家咖哩, 樂咖哩",NA,3,1,3,NA,NA,NA,3,1,3,NA,NA,3,1,3,NA,NA,3,1,2,NA,NA,3,3,3,NA,NA,3,3,3,NA,4,0,25,10001,0
咖哩郎,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,NA,3,NA,NA,NA,4,1,25,4999,0
"咖哩郎, 家咖哩",NA,5,5,NA,NA,NA,NA,5,4,NA,NA,NA,5,5,NA,NA,NA,5,5,NA,NA,NA,5,5,NA,NA,NA,5,5,NA,NA,5,0,25,10001,0
"咖哩郎, 家咖哩, 樂咖哩, Cume咖哩",NA,2,1,2,4,4,3,3,1,2,NA,3,4,2,3,NA,2,2,1,2,NA,1,3,2,2,NA,1,2,2,3,NA,4,1,35,10001,1
"咖哩郎, 樂咖哩",NA,5,NA,3,NA,NA,NA,5,NA,3,NA,NA,3,NA,3,NA,NA,5,NA,3,NA,NA,5,NA,5,NA,NA,5,NA,3,NA,NA,0,25,10001,1
"家咖哩, 樂咖哩",NA,NA,4,4,NA,3,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,3,3,NA,NA,NA,4,4,NA,NA,NA,4,4,NA,4,0,25,NA,0
家咖哩,NA,NA,3,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,4,0,19,999,0
"咖哩郎, 家咖哩",NA,4,4,NA,NA,NA,NA,3,3,NA,NA,NA,3,4,NA,NA,NA,3,4,NA,NA,NA,3,5,NA,NA,NA,4,4,NA,NA,NA,0,25,9999,0
咖哩郎,NA,4,NA,NA,NA,3,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,NA,3,1,25,10001,0
咖哩郎,NA,4,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,0,25,6999,0
"咖哩郎, 家咖哩, 樂咖哩",NA,5,3,4,NA,NA,NA,5,2,4,NA,NA,4,3,4,NA,NA,4,3,4,NA,NA,4,4,4,NA,NA,4,4,4,NA,4,1,25,9999,0
